t,NbIter,Residual,V[V0],I[V0],V[V1],I[V1],Bz,T
10,1,5.753137751e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1088252
10.1,1,5.886336196e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1091254
10.2,1,7.213028666e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1093957
10.3,1,5.734920365e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1096391
10.4,1,6.383991746e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1098582
10.5,1,7.736191674e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1100555
10.6,1,5.652168342e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1102332
10.7,1,5.774200207e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1103933
10.8,1,5.222446757e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1105375
10.9,1,6.386876577e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1106673
11,1,5.583597515e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1107843
11.1,1,5.958668902e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1108898
11.2,1,8.490697704e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1109848
11.3,1,7.210807652e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1110704
11.4,1,5.673543084e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1111476
11.5,1,7.260171382e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1112171
11.6,1,6.802558626e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1112799
11.7,1,5.634781245e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1113365
11.8,1,5.636814502e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1113875
11.9,1,6.763461277e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1114336
12,1,8.240599947e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1114751
12.1,1,6.883171329e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1115127
12.2,1,6.007939044e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1115465
12.3,1,8.479063552e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1115772
12.4,1,6.532902303e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1116048
12.5,1,8.219632016e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1116298
12.6,1,6.81584042e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1116524
12.7,1,7.822937003e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1116729
12.8,1,7.225089089e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1116914
12.9,1,7.649857587e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1117082
13,1,6.644441217e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1117234
13.1,1,6.418408898e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1117372
13.2,1,6.055626861e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1117497
13.3,1,5.313794591e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1117611
13.4,1,5.263864909e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1117714
13.5,1,6.37601405e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1117808
13.6,1,8.795150169e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1117894
13.7,1,7.186669405e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1117972
13.8,1,6.297764209e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118043
13.9,1,8.648003286e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118108
14,1,5.251004793e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118167
14.1,1,5.858408379e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118222
14.2,1,5.502497142e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118272
14.3,1,5.215413399e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118318
14.4,1,5.338903459e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.111836
14.5,1,5.259750051e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118398
14.6,1,6.053574917e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118434
14.7,1,6.469221948e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118467
14.8,1,6.281409705e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118498
14.9,1,5.423149998e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118526
15,1,7.907336772e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118553
15.1,1,6.941632408e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118577
15.2,1,7.017643565e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.11186
15.3,1,5.845653466e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118622
15.4,1,6.094921137e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118642
15.5,1,7.215774822e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118661
15.6,1,5.483778818e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118679
15.7,1,8.043091644e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118695
15.8,1,5.560829748e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118711
15.9,1,5.914383626e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118726
16,1,5.868025453e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118741
16.1,1,7.215905784e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118754
16.2,1,6.117535691e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118767
16.3,1,5.909439756e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118779
16.4,1,6.408742437e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118791
16.5,1,6.770251076e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118803
16.6,1,6.977621351e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118814
16.7,1,6.874518117e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118824
16.8,1,5.700539504e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118834
16.9,1,7.211542789e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118844
