t,NbIter,Residual,V[V0],I[V0],V[V1],I[V1],Bz,T
1.51,1,2.350216635e-14,0.000000,122452.798733,0.250000,-122639.951775,-0.841888,325.0712366
1.52,1,9.089357985e-15,0.000000,122365.655778,0.250000,-122552.801913,-0.841283,325.3397793
1.53,1,9.604687679e-15,0.000000,122279.534539,0.250000,-122466.673686,-0.840686,325.6056104
1.54,1,2.707207353e-14,0.000000,122194.421086,0.250000,-122381.553170,-0.840096,325.8687573
1.55,1,2.286965623e-14,0.000000,122110.301729,0.250000,-122297.426683,-0.839513,326.129247
1.56,1,1.317891611e-14,0.000000,122027.163018,0.250000,-122214.280779,-0.838936,326.3871066
1.57,1,1.428162258e-14,0.000000,121944.991734,0.250000,-122132.102244,-0.838367,326.6423626
1.58,1,5.336226028e-14,0.000000,121863.774882,0.250000,-122050.878090,-0.837803,326.8950417
1.59,1,2.216984947e-14,0.000000,121783.499689,0.250000,-121970.595549,-0.837247,327.1451701
1.6,1,1.85090642e-14,0.000000,121704.153595,0.250000,-121891.242065,-0.836697,327.3927739
1.61,1,1.071583935e-14,0.000000,121625.724252,0.250000,-121812.805296,-0.836153,327.637879
1.62,1,3.076256641e-14,0.000000,121548.199515,0.250000,-121735.273099,-0.835616,327.8805108
1.63,1,3.932424762e-14,0.000000,121471.567439,0.250000,-121658.633537,-0.835084,328.1206948
1.64,1,8.792350984e-15,0.000000,121395.816277,0.250000,-121582.874864,-0.834559,328.3584562
1.65,1,1.45933375e-14,0.000000,121320.934472,0.250000,-121507.985527,-0.834040,328.5938198
1.66,1,3.350142476e-14,0.000000,121246.910652,0.250000,-121433.954158,-0.833527,328.8268103
1.67,1,1.074622275e-14,0.000000,121173.733631,0.250000,-121360.769576,-0.833020,329.057452
1.68,1,3.531570365e-14,0.000000,121101.392401,0.250000,-121288.420773,-0.832519,329.2857693
1.69,1,3.339398096e-14,0.000000,121029.876128,0.250000,-121216.896922,-0.832023,329.5117858
1.7,1,1.34243145e-14,0.000000,120959.174152,0.250000,-121146.187361,-0.831533,329.7355255
1.71,1,1.343189512e-14,0.000000,120889.275977,0.250000,-121076.281602,-0.831048,329.9570116
1.72,1,1.57301703e-14,0.000000,120820.171276,0.250000,-121007.169317,-0.830569,330.1762675
1.73,1,1.231083156e-14,0.000000,120751.849879,0.250000,-120938.840339,-0.830096,330.393316
1.74,1,1.166411871e-14,0.000000,120684.301776,0.250000,-120871.284662,-0.829628,330.60818
1.75,1,7.943719419e-15,0.000000,120617.517112,0.250000,-120804.492430,-0.829165,330.8208818
1.76,1,1.212894835e-14,0.000000,120551.486180,0.250000,-120738.453942,-0.828707,331.0314438
1.77,1,2.374659997e-14,0.000000,120486.199426,0.250000,-120673.159643,-0.828255,331.239888
1.78,1,3.759057458e-14,0.000000,120421.647439,0.250000,-120608.600125,-0.827808,331.4462361
1.79,1,8.5478643e-15,0.000000,120357.820950,0.250000,-120544.766121,-0.827365,331.6505098
1.8,1,2.442356102e-14,0.000000,120294.710833,0.250000,-120481.648506,-0.826928,331.8527303
1.81,1,9.127157021e-15,0.000000,120232.308096,0.250000,-120419.238289,-0.826495,332.0529188
1.82,1,2.532853548e-14,0.000000,120170.603882,0.250000,-120357.526617,-0.826068,332.2510961
1.83,1,5.887850664e-14,0.000000,120109.589469,0.250000,-120296.504766,-0.825645,332.4472829
1.84,1,3.101113799e-14,0.000000,120049.256261,0.250000,-120236.164144,-0.825227,332.6414998
1.85,1,9.335462313e-15,0.000000,119989.595791,0.250000,-120176.496283,-0.824814,332.8337668
1.86,1,2.230055056e-14,0.000000,119930.599716,0.250000,-120117.492844,-0.824405,333.0241039
1.87,1,1.521207402e-14,0.000000,119872.259816,0.250000,-120059.145606,-0.824001,333.2125311
1.88,1,3.606003767e-14,0.000000,119814.567991,0.250000,-120001.446470,-0.823601,333.3990679
1.89,1,7.646733815e-15,0.000000,119757.516260,0.250000,-119944.387457,-0.823206,333.5837336
1.9,1,3.341045057e-14,0.000000,119701.096755,0.250000,-119887.960699,-0.822815,333.7665475
1.91,1,8.053670258e-15,0.000000,119645.301725,0.250000,-119832.158446,-0.822428,333.9475284
1.92,1,8.82946599e-15,0.000000,119590.123528,0.250000,-119776.973058,-0.822046,334.1266952
1.93,1,5.682207899e-15,0.000000,119535.554634,0.250000,-119722.397005,-0.821668,334.3040664
1.94,1,4.077814321e-14,0.000000,119481.587620,0.250000,-119668.422864,-0.821294,334.4796604
1.95,1,1.737402878e-14,0.000000,119428.215167,0.250000,-119615.043318,-0.820924,334.6534954
1.96,1,1.153409028e-14,0.000000,119375.430063,0.250000,-119562.251155,-0.820558,334.8255893
1.97,1,1.506552689e-14,0.000000,119323.225197,0.250000,-119510.039263,-0.820197,334.99596
1.98,1,1.780798079e-14,0.000000,119271.593556,0.250000,-119458.400633,-0.819839,335.1646249
1.99,1,8.808163426e-15,0.000000,119220.528230,0.250000,-119407.328353,-0.819485,335.3316016
2,1,1.745205854e-14,0.000000,119170.022402,0.250000,-119356.815607,-0.819135,335.4969073
2.01,1,2.058912549e-14,0.000000,119120.069352,0.250000,-119306.855677,-0.818789,335.660559
2.02,1,5.699491403e-15,0.000000,119070.662455,0.250000,-119257.441936,-0.818447,335.8225735
2.03,1,8.496145743e-15,0.000000,119021.795175,0.250000,-119208.567849,-0.818108,335.9829676
2.04,1,8.384446781e-15,0.000000,118973.461069,0.250000,-119160.226975,-0.817773,336.1417577
