"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
342.14,1,0.0066,0.001,0.0816,0
342.2,1,0.006625,0.001,0.081625,0
342.25,1,0.00665,0.001,0.08165,0
342.31,1,0.006675,0.001,0.081675,0
342.37,1,0.0067,0.001,0.0817,0
342.42,1,0.006725,0.001,0.081725,0
342.48,1,0.00675,0.001,0.08175,0
342.53,1,0.006775,0.001,0.081775,0
342.59,1,0.0068,0.001,0.0818,0
342.65,1,0.006825,0.001,0.081825,0
342.7,1,0.00685,0.001,0.08185,0
342.76,1,0.006875,0.001,0.081875,0
342.81,1,0.0069,0.001,0.0819,0
342.87,1,0.006925,0.001,0.081925,0
342.93,1,0.00695,0.001,0.08195,0
342.98,1,0.006975,0.001,0.081975,0
343.04,1,0.007,0.001,0.082,0
343.1,1,0.007025,0.001,0.082025,0
343.15,1,0.00705,0.001,0.08205,0
343.21,1,0.007075,0.001,0.082075,0
343.26,1,0.0071,0.001,0.0821,0
343.32,1,0.007125,0.001,0.082125,0
343.38,1,0.00715,0.001,0.08215,0
343.44,1,0.007175,0.001,0.082175,0
343.5,1,0.0072,0.001,0.0822,0
343.56,1,0.007225,0.001,0.082225,0
343.62,1,0.00725,0.001,0.08225,0
343.68,1,0.007275,0.001,0.082275,0
343.75,1,0.0073,0.001,0.0823,0
343.81,1,0.007325,0.001,0.082325,0
343.88,1,0.00735,0.001,0.08235,0
343.94,1,0.007375,0.001,0.082375,0
344.01,1,0.0074,0.001,0.0824,0
344.07,1,0.007425,0.001,0.082425,0
344.13,1,0.00745,0.001,0.08245,0
344.2,1,0.007475,0.001,0.082475,0
344.26,1,0.0075,0.001,0.0825,0
344.33,1,0.007525,0.001,0.082525,0
344.39,1,0.00755,0.001,0.08255,0
344.45,1,0.007575,0.001,0.082575,0
344.52,1,0.0076,0.001,0.0826,0
344.58,1,0.007625,0.001,0.082625,0
344.65,1,0.00765,0.001,0.08265,0
344.71,1,0.007675,0.001,0.082675,0
344.78,1,0.0077,0.001,0.0827,0
344.84,1,0.007725,0.001,0.082725,0
344.9,1,0.00775,0.001,0.08275,0
344.97,1,0.007775,0.001,0.082775,0
345.03,1,0.0078,0.001,0.0828,0
345.1,1,0.007825,0.001,0.082825,0
345.16,1,0.00785,0.001,0.08285,0
345.23,1,0.007875,0.001,0.082875,0
345.29,1,0.0079,0.001,0.0829,0
345.35,1,0.007925,0.001,0.082925,0
345.42,1,0.00795,0.001,0.08295,0
345.48,1,0.007975,0.001,0.082975,0
345.55,1,0.008,0.001,0.083,0
345.61,1,0.008025,0.001,0.083025,0
345.67,1,0.00805,0.001,0.08305,0
345.72,1,0.008075,0.001,0.083075,0
345.76,1,0.0081,0.001,0.0831,0
345.81,1,0.008125,0.001,0.083125,0
345.85,1,0.00815,0.001,0.08315,0
345.9,1,0.008175,0.001,0.083175,0
345.94,1,0.0082,0.001,0.0832,0
345.99,1,0.008225,0.001,0.083225,0
346.03,1,0.00825,0.001,0.08325,0
346.08,1,0.008275,0.001,0.083275,0
346.12,1,0.0083,0.001,0.0833,0
346.17,1,0.008325,0.001,0.083325,0
346.21,1,0.00835,0.001,0.08335,0
346.25,1,0.008375,0.001,0.083375,0
346.3,1,0.0084,0.001,0.0834,0
346.34,1,0.008425,0.001,0.083425,0
346.39,1,0.00845,0.001,0.08345,0
346.43,1,0.008475,0.001,0.083475,0
